Id,Age,Gender,Education Level,Job Title,Years of Experience,Salary
1581,43,Male,PhD,Senior Project Engineer,13,185000
1582,54,Male,PhD,Software Engineer Manager,17,195000
1583,32,Male,Master's Degree,Back end Developer,6,130000
1584,38,Male,Master's Degree,Senior Software Engineer,10,155000
1585,49,Male,PhD,Software Engineer Manager,15,185000
1586,27,Male,Bachelor's Degree,Front end Developer,3,80000
1587,54,Male,PhD,Software Engineer Manager,17,195000
1588,31,Male,Master's Degree,Senior Project Engineer,7,135000
1589,24,Male,Bachelor's Degree,Back end Developer,1,55000
1590,48,Male,PhD,Senior Project Engineer,16,190000
1591,27,Female,Master's Degree,Back end Developer,2,70000
1592,43,Male,PhD,Senior Project Engineer,13,185000
1593,44,Male,Master's Degree,Senior Project Engineer,11,170000
1594,37,Male,Master's Degree,Senior Software Engineer,9,150000
1595,56,Male,PhD,Software Engineer Manager,17,195000
1596,28,Male,Bachelor's Degree,Front end Developer,2,70000
1597,54,Male,PhD,Software Engineer Manager,17,195000
1598,31,Male,Master's Degree,Senior Project Engineer,6,125000
1599,49,Male,PhD,Software Engineer Manager,15,185000
1600,54,Male,PhD,Software Engineer Manager,17,195000
1601,27,Male,Bachelor's Degree,Front end Developer,3,80000
1602,42,Male,PhD,Senior Software Engineer,14,170000
1603,38,Male,Master's Degree,Senior Software Engineer,10,155000
1604,43,Male,PhD,Senior Project Engineer,13,185000
1605,27,Male,Bachelor's Degree,Front end Developer,2,70000
1606,31,Male,Master's Degree,Full Stack Engineer,7,140000
1607,54,Male,PhD,Software Engineer Manager,17,195000
1608,36,Male,Master's Degree,Senior Software Engineer,8,140000
1609,27,Female,Master's Degree,Back end Developer,2,70000
1610,49,Male,PhD,Software Engineer Manager,15,185000
1611,48,Male,PhD,Senior Project Engineer,16,190000
1612,31,Male,Master's Degree,Senior Project Engineer,7,135000
1613,40,Female,PhD,Senior Software Engineer,12,160000
1614,24,Male,Bachelor's Degree,Front end Developer,1,55000
1615,27,Male,Bachelor's Degree,Front end Developer,3,80000
1616,43,Male,PhD,Senior Project Engineer,13,185000
1617,27,Female,Master's Degree,Full Stack Engineer,3,100000
1618,49,Male,PhD,Software Engineer Manager,15,185000
1619,48,Male,PhD,Senior Project Engineer,16,190000
1620,31,Male,Master's Degree,Senior Project Engineer,6,125000
1621,40,Male,PhD,Senior Software Engineer,12,160000
1622,36,Male,Master's Degree,Senior Software Engineer,8,140000
1623,54,Male,PhD,Software Engineer Manager,17,195000
1624,27,Male,Bachelor's Degree,Front end Developer,2,70000
1625,28,Male,Bachelor's Degree,Front end Developer,2,70000
1626,44,Male,Master's Degree,Senior Project Engineer,11,170000
1627,43,Male,PhD,Senior Project Engineer,13,185000
1628,54,Male,PhD,Software Engineer Manager,17,195000
1629,32,Male,Master's Degree,Back end Developer,6,130000
1630,38,Male,Master's Degree,Senior Software Engineer,10,155000
1631,49,Male,PhD,Software Engineer Manager,15,185000
1632,27,Male,Bachelor's Degree,Front end Developer,3,80000
1633,54,Male,PhD,Software Engineer Manager,17,195000
1634,31,Male,Master's Degree,Senior Project Engineer,7,135000
1635,24,Male,Bachelor's Degree,Back end Developer,1,55000
1636,48,Male,PhD,Senior Project Engineer,16,190000
1637,27,Female,Master's Degree,Back end Developer,2,70000
1638,43,Male,PhD,Senior Project Engineer,13,185000
1639,44,Male,Master's Degree,Senior Project Engineer,11,170000
1640,37,Male,Master's Degree,Senior Software Engineer,9,150000
1641,56,Male,PhD,Software Engineer Manager,17,195000
1642,28,Male,Bachelor's Degree,Front end Developer,2,70000
1643,54,Male,PhD,Software Engineer Manager,17,195000
1644,31,Male,Master's Degree,Senior Project Engineer,6,125000
1645,49,Male,PhD,Software Engineer Manager,15,185000
1646,54,Male,PhD,Software Engineer Manager,17,195000
1647,27,Male,Bachelor's Degree,Front end Developer,3,80000
1648,42,Male,PhD,Senior Software Engineer,14,170000
1649,38,Male,Master's Degree,Senior Software Engineer,10,155000
1650,36,Male,Bachelor's Degree,Front end Developer,7,120000
1651,29,Female,Master's Degree,Back end Developer,3,90000
1652,41,Female,PhD,Software Engineer Manager,14,180000
1653,33,Male,Bachelor's Degree,Full Stack Engineer,7,130000
1654,42,Male,PhD,Senior Software Engineer,12,170000
1655,28,Male,Bachelor's Degree,Back end Developer,2,70000
1656,55,Male,PhD,Software Engineer Manager,18,210000
1657,26,Female,Master's Degree,Front end Developer,1,55000
1658,47,Male,PhD,Senior Project Engineer,16,190000
1659,44,Female,PhD,Software Engineer Manager,11,165000
1660,30,Male,Master's Degree,Full Stack Engineer,5,105000
1661,39,Female,Master's Degree,Senior Software Engineer,11,160000
1662,32,Male,Bachelor's Degree,Front end Developer,6,110000
1663,50,Male,PhD,Software Engineer Manager,17,195000
1664,27,Male,Bachelor's Degree,Back end Developer,3,85000
1665,46,Male,PhD,Senior Project Engineer,14,180000
1666,25,Female,Bachelor's Degree,Front end Developer,1,55000
1667,43,Male,PhD,Senior Project Engineer,13,185000
1668,35,Male,Bachelor's Degree,Back end Developer,8,140000
1669,29,Female,Master's Degree,Back end Developer,3,90000
1670,40,Female,PhD,Senior Software Engineer,12,160000
1671,35,Male,Bachelor's Degree,Full Stack Engineer,8,145000
1672,41,Male,PhD,Senior Project Engineer,13,185000
1673,30,Male,Master's Degree,Full Stack Engineer,5,105000
1674,33,Male,Bachelor's Degree,Front end Developer,6,110000
1675,55,Male,PhD,Software Engineer Manager,18,210000
1676,26,Female,Master's Degree,Front end Developer,1,55000
1677,47,Male,PhD,Senior Project Engineer,16,190000
1678,44,Female,PhD,Software Engineer Manager,11,165000
1679,30,Male,Master's Degree,Full Stack Engineer,5,105000
1680,39,Female,Master's Degree,Senior Software Engineer,11,160000
1681,32,Male,Bachelor's Degree,Front end Developer,6,110000
1682,50,Male,PhD,Software Engineer Manager,17,195000
1683,27,Male,Bachelor's Degree,Back end Developer,3,85000
1684,46,Male,PhD,Senior Project Engineer,14,180000
1685,25,Female,Bachelor's Degree,Front end Developer,1,55000
1686,43,Male,PhD,Senior Project Engineer,13,185000
1687,35,Male,Bachelor's Degree,Back end Developer,8,140000
1688,29,Female,Master's Degree,Back end Developer,3,90000
1689,40,Female,PhD,Senior Software Engineer,12,160000
1690,35,Male,Bachelor's Degree,Full Stack Engineer,8,145000
1691,41,Male,PhD,Senior Project Engineer,13,185000
1692,30,Male,Master's Degree,Full Stack Engineer,5,105000
1693,33,Male,Bachelor's Degree,Front end Developer,6,110000
1694,55,Male,PhD,Software Engineer Manager,18,210000
1695,26,Female,Master's Degree,Front end Developer,1,55000
1696,47,Male,PhD,Senior Project Engineer,16,190000
1697,44,Female,PhD,Software Engineer Manager,11,165000
1698,30,Male,Master's Degree,Full Stack Engineer,5,105000
1699,39,Female,Master's Degree,Senior Software Engineer,11,160000
1700,32,Male,Bachelor's Degree,Front end Developer,6,110000
1701,50,Male,PhD,Software Engineer Manager,17,195000
1702,27,Male,Bachelor's Degree,Back end Developer,3,85000
1703,46,Male,PhD,Senior Project Engineer,14,180000
1704,25,Female,Bachelor's Degree,Front end Developer,1,55000
1705,43,Male,PhD,Senior Project Engineer,13,185000
1706,35,Male,Bachelor's Degree,Back end Developer,8,140000
1707,29,Female,Master's Degree,Back end Developer,3,90000
1708,40,Female,PhD,Senior Software Engineer,12,160000
1709,35,Male,Bachelor's Degree,Full Stack Engineer,8,145000
1710,41,Male,PhD,Senior Project Engineer,13,185000
1711,30,Male,Master's Degree,Full Stack Engineer,5,105000
1712,33,Male,Bachelor's Degree,Front end Developer,6,110000
1713,55,Male,PhD,Software Engineer Manager,18,210000
1714,26,Female,Master's Degree,Front end Developer,1,55000
1715,47,Male,PhD,Senior Project Engineer,16,190000
1716,44,Female,PhD,Software Engineer Manager,11,165000
1717,30,Male,Master's Degree,Full Stack Engineer,5,105000
1718,39,Female,Master's Degree,Senior Software Engineer,11,160000
1719,32,Male,Bachelor's Degree,Front end Developer,6,110000
1720,50,Male,PhD,Software Engineer Manager,17,195000
1721,27,Male,Bachelor's Degree,Back end Developer,3,85000
1722,46,Male,PhD,Senior Project Engineer,14,180000
1723,25,Female,Bachelor's Degree,Front end Developer,1,55000
1724,43,Male,PhD,Senior Project Engineer,13,185000
1725,35,Male,Bachelor's Degree,Back end Developer,8,140000
1726,29,Female,Master's Degree,Back end Developer,3,90000
1727,40,Female,PhD,Senior Software Engineer,12,160000
1728,35,Male,Bachelor's Degree,Full Stack Engineer,8,145000
1729,41,Male,PhD,Senior Project Engineer,13,185000
1730,30,Male,Master's Degree,Full Stack Engineer,5,105000
1731,33,Male,Bachelor's Degree,Front end Developer,6,110000
1732,55,Male,PhD,Software Engineer Manager,18,210000
1733,26,Female,Master's Degree,Front end Developer,1,55000
1734,47,Male,PhD,Senior Project Engineer,16,190000
1735,44,Female,PhD,Software Engineer Manager,11,165000
1736,30,Male,Master's Degree,Full Stack Engineer,5,105000
1737,39,Female,Master's Degree,Senior Software Engineer,11,160000
1738,32,Male,Bachelor's Degree,Front end Developer,6,110000
1739,50,Male,PhD,Software Engineer Manager,17,195000
1740,27,Male,Bachelor's Degree,Back end Developer,3,85000
1741,46,Male,PhD,Senior Project Engineer,14,180000
1742,25,Female,Bachelor's Degree,Front end Developer,1,55000
1743,43,Male,PhD,Senior Project Engineer,13,185000
1744,35,Male,Bachelor's Degree,Back end Developer,8,140000
1745,29,Female,Master's Degree,Back end Developer,3,90000
1746,40,Female,PhD,Senior Software Engineer,12,160000
1747,35,Male,Bachelor's Degree,Full Stack Engineer,8,145000
1748,41,Male,PhD,Senior Project Engineer,13,185000
1749,30,Male,Master's Degree,Full Stack Engineer,5,105000
1750,33,Male,Bachelor's Degree,Front end Developer,6,110000
1751,55,Male,PhD,Software Engineer Manager,18,210000
1752,26,Female,Master's Degree,Front end Developer,1,55000
1753,47,Male,PhD,Senior Project Engineer,16,190000
1754,44,Female,PhD,Software Engineer Manager,11,165000
1755,30,Male,Master's Degree,Full Stack Engineer,5,105000
1756,39,Female,Master's Degree,Senior Software Engineer,11,160000
1757,32,Male,Bachelor's Degree,Front end Developer,6,110000
1758,50,Male,PhD,Software Engineer Manager,17,195000
1759,27,Male,Bachelor's Degree,Back end Developer,3,85000
1760,46,Male,PhD,Senior Project Engineer,14,180000
1761,25,Female,Bachelor's Degree,Front end Developer,1,55000
1762,43,Male,PhD,Senior Project Engineer,13,185000
1763,35,Male,Bachelor's Degree,Back end Developer,8,140000
1764,29,Female,Master's Degree,Back end Developer,3,90000
1765,40,Female,PhD,Senior Software Engineer,12,160000
1766,35,Male,Bachelor's Degree,Full Stack Engineer,8,145000
1767,41,Male,PhD,Senior Project Engineer,13,185000
1768,30,Male,Master's Degree,Full Stack Engineer,5,105000
1769,33,Male,Bachelor's Degree,Front end Developer,6,110000
1770,55,Male,PhD,Software Engineer Manager,18,210000
1771,31,Male,Bachelor's Degree,Front end Developer,6,115000
1772,42,Female,Master's Degree,Software Engineer Manager,13,170000
1773,27,Female,Bachelor's Degree,Back end Developer,3,80000
1774,51,Male,PhD,Senior Project Engineer,19,200000
1775,34,Female,Master's Degree,Full Stack Engineer,7,130000
1776,38,Male,Bachelor's Degree,Software Engineer Manager,11,155000
1777,29,Male,Bachelor's Degree,Front end Developer,5,105000
1778,43,Female,PhD,Senior Project Engineer,14,190000
1779,36,Male,Master's Degree,Back end Developer,8,140000
1780,48,Male,PhD,Software Engineer Manager,16,185000
1781,35,Female,Bachelor's Degree,Full Stack Engineer,8,145000
1782,30,Female,Master's Degree,Front end Developer,4,90000
1783,50,Male,PhD,Senior Project Engineer,18,195000
1784,29,Male,Bachelor's Degree,Back end Developer,4,95000
1785,41,Male,Master's Degree,Software Engineer Manager,13,170000
1786,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1787,45,Male,PhD,Senior Project Engineer,16,185000
1788,28,Female,Bachelor's Degree,Front end Developer,2,65000
1789,39,Female,Master's Degree,Software Engineer Manager,12,160000
1790,30,Male,Bachelor's Degree,Back end Developer,5,100000
1791,46,Male,PhD,Senior Project Engineer,15,180000
1792,25,Female,Bachelor's Degree,Front end Developer,1,55000
1793,42,Male,PhD,Software Engineer Manager,14,190000
1794,31,Male,Bachelor's Degree,Full Stack Engineer,6,115000
1795,49,Female,PhD,Senior Project Engineer,17,195000
1796,36,Male,Master's Degree,Back end Developer,9,150000
1797,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1798,45,Male,PhD,Software Engineer Manager,16,185000
1799,28,Female,Bachelor's Degree,Front end Developer,2,65000
1800,39,Female,Master's Degree,Software Engineer Manager,12,160000
1801,30,Male,Bachelor's Degree,Back end Developer,5,100000
1802,46,Male,PhD,Senior Project Engineer,15,180000
1803,25,Female,Bachelor's Degree,Front end Developer,1,55000
1804,42,Male,PhD,Software Engineer Manager,14,190000
1805,31,Male,Bachelor's Degree,Full Stack Engineer,6,115000
1806,49,Female,PhD,Senior Project Engineer,17,195000
1807,36,Male,Master's Degree,Back end Developer,9,150000
1808,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1809,45,Male,PhD,Software Engineer Manager,16,185000
1810,28,Female,Bachelor's Degree,Front end Developer,2,65000
1811,39,Female,Master's Degree,Software Engineer Manager,12,160000
1812,30,Male,Bachelor's Degree,Back end Developer,5,100000
1813,46,Male,PhD,Senior Project Engineer,15,180000
1814,25,Female,Bachelor's Degree,Front end Developer,1,55000
1815,42,Male,PhD,Software Engineer Manager,14,190000
1816,31,Male,Bachelor's Degree,Full Stack Engineer,6,115000
1817,49,Female,PhD,Senior Project Engineer,17,195000
1818,36,Male,Master's Degree,Back end Developer,9,150000
1819,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1820,45,Male,PhD,Software Engineer Manager,16,185000
1821,28,Female,Bachelor's Degree,Front end Developer,2,65000
1822,39,Female,Master's Degree,Software Engineer Manager,12,160000
1823,30,Male,Bachelor's Degree,Back end Developer,5,100000
1824,46,Male,PhD,Senior Project Engineer,15,180000
1825,25,Female,Bachelor's Degree,Front end Developer,1,55000
1826,42,Male,PhD,Software Engineer Manager,14,190000
1827,31,Male,Bachelor's Degree,Full Stack Engineer,6,115000
1828,49,Female,PhD,Senior Project Engineer,17,195000
1829,36,Male,Master's Degree,Back end Developer,9,150000
1830,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1831,45,Male,PhD,Software Engineer Manager,16,185000
1832,28,Female,Bachelor's Degree,Front end Developer,2,65000
1833,39,Female,Master's Degree,Software Engineer Manager,12,160000
1834,30,Male,Bachelor's Degree,Back end Developer,5,100000
1835,46,Male,PhD,Senior Project Engineer,15,180000
1836,25,Female,Bachelor's Degree,Front end Developer,1,55000
1837,42,Male,PhD,Software Engineer Manager,14,190000
1838,31,Male,Bachelor's Degree,Full Stack Engineer,6,115000
1839,49,Female,PhD,Senior Project Engineer,17,195000
1840,36,Male,Master's Degree,Back end Developer,9,150000
1841,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1842,45,Male,PhD,Software Engineer Manager,16,185000
1843,28,Female,Bachelor's Degree,Front end Developer,2,65000
1844,39,Female,Master's Degree,Software Engineer Manager,12,160000
1845,30,Male,Bachelor's Degree,Back end Developer,5,100000
1846,46,Male,PhD,Senior Project Engineer,15,180000
1847,25,Female,Bachelor's Degree,Front end Developer,1,55000
1848,42,Male,PhD,Software Engineer Manager,14,190000
1849,31,Male,Bachelor's Degree,Full Stack Engineer,6,115000
1850,49,Female,PhD,Senior Project Engineer,17,195000
1851,36,Male,Master's Degree,Back end Developer,9,150000
1852,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1853,45,Male,PhD,Software Engineer Manager,16,185000
1854,28,Female,Bachelor's Degree,Front end Developer,2,65000
1855,39,Female,Master's Degree,Software Engineer Manager,12,160000
1856,30,Male,Bachelor's Degree,Back end Developer,5,100000
1857,46,Male,PhD,Senior Project Engineer,15,180000
1858,25,Female,Bachelor's Degree,Front end Developer,1,55000
1859,42,Male,PhD,Software Engineer Manager,14,190000
1860,31,Male,Bachelor's Degree,Full Stack Engineer,6,115000
1861,49,Female,PhD,Senior Project Engineer,17,195000
1862,36,Male,Master's Degree,Back end Developer,9,150000
1863,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1864,45,Male,PhD,Software Engineer Manager,16,185000
1865,28,Female,Bachelor's Degree,Front end Developer,2,65000
1866,39,Female,Master's Degree,Software Engineer Manager,12,160000
1867,30,Male,Bachelor's Degree,Back end Developer,5,100000
1868,46,Male,PhD,Senior Project Engineer,15,180000
1869,25,Female,Bachelor's Degree,Front end Developer,1,55000
1870,42,Male,PhD,Software Engineer Manager,14,190000
1871,31,Male,Bachelor's Degree,Full Stack Engineer,6,115000
1872,49,Female,PhD,Senior Project Engineer,17,195000
1873,36,Male,Master's Degree,Back end Developer,9,150000
1874,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1875,45,Male,PhD,Software Engineer Manager,16,185000
1876,28,Female,Bachelor's Degree,Front end Developer,2,65000
1877,39,Female,Master's Degree,Software Engineer Manager,12,160000
1878,30,Male,Bachelor's Degree,Back end Developer,5,100000
1879,46,Male,PhD,Senior Project Engineer,15,180000
1880,25,Female,Bachelor's Degree,Front end Developer,1,55000
1881,42,Male,PhD,Software Engineer Manager,14,190000
1882,31,Male,Bachelor's Degree,Full Stack Engineer,6,115000
1883,49,Female,PhD,Senior Project Engineer,17,195000
1884,36,Male,Master's Degree,Back end Developer,9,150000
1885,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1886,45,Male,PhD,Software Engineer Manager,16,185000
1887,28,Female,Bachelor's Degree,Front end Developer,2,65000
1888,39,Female,Master's Degree,Software Engineer Manager,12,160000
1889,30,Male,Bachelor's Degree,Back end Developer,5,100000
1890,46,Male,PhD,Senior Project Engineer,15,180000
1891,25,Female,Bachelor's Degree,Front end Developer,1,550
1892,29,Male,Bachelor's Degree,Front end Developer,4,90000
1893,40,Female,Master's Degree,Software Engineer Manager,12,160000
1894,27,Female,Bachelor's Degree,Back end Developer,3,80000
1895,50,Male,PhD,Senior Project Engineer,18,195000
1896,33,Female,Master's Degree,Full Stack Engineer,6,115000
1897,37,Male,Bachelor's Degree,Software Engineer Manager,10,150000
1898,28,Male,Bachelor's Degree,Front end Developer,2,65000
1899,44,Female,PhD,Senior Project Engineer,14,190000
1900,35,Male,Master's Degree,Back end Developer,8,140000
1901,47,Male,PhD,Software Engineer Manager,16,185000
1902,34,Female,Bachelor's Degree,Full Stack Engineer,7,130000
1903,31,Female,Master's Degree,Front end Developer,5,105000
1904,51,Male,PhD,Senior Project Engineer,19,200000
1905,30,Male,Bachelor's Degree,Back end Developer,5,100000
1906,42,Male,Master's Degree,Software Engineer Manager,13,170000
1907,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1908,45,Male,PhD,Senior Project Engineer,16,185000
1909,29,Female,Bachelor's Degree,Front end Developer,4,90000
1910,39,Female,Master's Degree,Software Engineer Manager,12,160000
1911,27,Male,Bachelor's Degree,Back end Developer,3,80000
1912,49,Male,PhD,Senior Project Engineer,17,195000
1913,32,Female,Master's Degree,Full Stack Engineer,6,115000
1914,36,Male,Bachelor's Degree,Software Engineer Manager,8,135000
1915,27,Male,Bachelor's Degree,Front end Developer,2,65000
1916,43,Female,PhD,Senior Project Engineer,14,190000
1917,34,Male,Master's Degree,Back end Developer,8,140000
1918,46,Male,PhD,Software Engineer Manager,16,185000
1919,33,Female,Bachelor's Degree,Full Stack Engineer,7,130000
1920,30,Female,Master's Degree,Front end Developer,5,105000
1921,50,Male,PhD,Senior Project Engineer,19,200000
1922,30,Male,Bachelor's Degree,Back end Developer,5,100000
1923,42,Male,Master's Degree,Software Engineer Manager,13,170000
1924,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1925,45,Male,PhD,Senior Project Engineer,16,185000
1926,29,Female,Bachelor's Degree,Front end Developer,4,90000
1927,39,Female,Master's Degree,Software Engineer Manager,12,160000
1928,27,Male,Bachelor's Degree,Back end Developer,3,80000
1929,49,Male,PhD,Senior Project Engineer,17,195000
1930,32,Female,Master's Degree,Full Stack Engineer,6,115000
1931,36,Male,Bachelor's Degree,Software Engineer Manager,8,135000
1932,27,Male,Bachelor's Degree,Front end Developer,2,65000
1933,43,Female,PhD,Senior Project Engineer,14,190000
1934,34,Male,Master's Degree,Back end Developer,8,140000
1935,46,Male,PhD,Software Engineer Manager,16,185000
1936,33,Female,Bachelor's Degree,Full Stack Engineer,7,130000
1937,30,Female,Master's Degree,Front end Developer,5,105000
1938,50,Male,PhD,Senior Project Engineer,19,200000
1939,30,Male,Bachelor's Degree,Back end Developer,5,100000
1940,42,Male,Master's Degree,Software Engineer Manager,13,170000
1941,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1942,45,Male,PhD,Senior Project Engineer,16,185000
1943,29,Female,Bachelor's Degree,Front end Developer,4,90000
1944,39,Female,Master's Degree,Software Engineer Manager,12,160000
1945,27,Male,Bachelor's Degree,Back end Developer,3,80000
1946,49,Male,PhD,Senior Project Engineer,17,195000
1947,32,Female,Master's Degree,Full Stack Engineer,6,115000
1948,36,Male,Bachelor's Degree,Software Engineer Manager,8,135000
1949,27,Male,Bachelor's Degree,Front end Developer,2,65000
1950,43,Female,PhD,Senior Project Engineer,14,190000
1951,34,Male,Master's Degree,Back end Developer,8,140000
1952,46,Male,PhD,Software Engineer Manager,16,185000
1953,33,Female,Bachelor's Degree,Full Stack Engineer,7,130000
1954,30,Female,Master's Degree,Front end Developer,5,105000
1955,50,Male,PhD,Senior Project Engineer,19,200000
1956,30,Male,Bachelor's Degree,Back end Developer,5,100000
1957,42,Male,Master's Degree,Software Engineer Manager,13,170000
1958,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1959,45,Male,PhD,Senior Project Engineer,16,185000
1960,29,Female,Bachelor's Degree,Front end Developer,4,90000
1961,39,Female,Master's Degree,Software Engineer Manager,12,160000
1962,27,Male,Bachelor's Degree,Back end Developer,3,80000
1963,49,Male,PhD,Senior Project Engineer,17,195000
1964,32,Female,Master's Degree,Full Stack Engineer,6,115000
1965,36,Male,Bachelor's Degree,Software Engineer Manager,8,135000
1966,27,Male,Bachelor's Degree,Front end Developer,2,65000
1967,43,Female,PhD,Senior Project Engineer,14,190000
1968,34,Male,Master's Degree,Back end Developer,8,140000
1969,46,Male,PhD,Software Engineer Manager,16,185000
1970,33,Female,Bachelor's Degree,Full Stack Engineer,7,130000
1971,30,Female,Master's Degree,Front end Developer,5,105000
1972,50,Male,PhD,Senior Project Engineer,19,200000
1973,30,Male,Bachelor's Degree,Back end Developer,5,100000
1974,42,Male,Master's Degree,Software Engineer Manager,13,170000
1975,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1976,45,Male,PhD,Senior Project Engineer,16,185000
1977,29,Female,Bachelor's Degree,Front end Developer,4,90000
1978,39,Female,Master's Degree,Software Engineer Manager,12,160000
1979,27,Male,Bachelor's Degree,Back end Developer,3,80000
1980,49,Male,PhD,Senior Project Engineer,17,195000
1981,32,Female,Master's Degree,Full Stack Engineer,6,115000
1982,36,Male,Bachelor's Degree,Software Engineer Manager,8,135000
1983,27,Male,Bachelor's Degree,Front end Developer,2,65000
1984,43,Female,PhD,Senior Project Engineer,14,190000
1985,34,Male,Master's Degree,Back end Developer,8,140000
1986,46,Male,PhD,Software Engineer Manager,16,185000
1987,33,Female,Bachelor's Degree,Full Stack Engineer,7,130000
1988,30,Female,Master's Degree,Front end Developer,5,105000
1989,50,Male,PhD,Senior Project Engineer,19,200000
1990,30,Male,Bachelor's Degree,Back end Developer,5,100000
1991,42,Male,Master's Degree,Software Engineer Manager,13,170000
1992,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
1993,45,Male,PhD,Senior Project Engineer,16,185000
1994,29,Female,Bachelor's Degree,Front end Developer,4,90000
1995,39,Female,Master's Degree,Software Engineer Manager,12,160000
1996,27,Male,Bachelor's Degree,Back end Developer,3,80000
1997,49,Male,PhD,Senior Project Engineer,17,195000
1998,32,Female,Master's Degree,Full Stack Engineer,6,115000
1999,36,Male,Bachelor's Degree,Software Engineer Manager,8,135000
2000,27,Male,Bachelor's Degree,Front end Developer,2,65000
2001,43,Female,PhD,Senior Project Engineer,14,190000
2002,34,Male,Master's Degree,Back end Developer,8,140000
2003,46,Male,PhD,Software Engineer Manager,16,185000
2004,33,Female,Bachelor's Degree,Full Stack Engineer,7,130000
2005,30,Female,Master's Degree,Front end Developer,5,105000
2006,50,Male,PhD,Senior Project Engineer,19,200000
2007,30,Male,Bachelor's Degree,Back end Developer,5,100000
2008,42,Male,Master's Degree,Software Engineer Manager,13,170000
2009,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
2010,45,Male,PhD,Senior Project Engineer,16,185000
2011,29,Female,Bachelor's Degree,Front end Developer,4,90000
2012,27,Male,,Developer,7,100000
2013,31,Female,Bachelor's Degree,Front end Developer,6,110000
2014,37,Male,Master's Degree,Software Engineer Manager,10,150000
2015,27,Male,Bachelor's Degree,Back end Developer,3,80000
2016,50,Male,PhD,Senior Project Engineer,18,195000
2017,32,Female,Master's Degree,Full Stack Engineer,6,115000
2018,36,Male,Bachelor's Degree,Software Engineer Manager,8,135000
2019,27,Male,Bachelor's Degree,Front end Developer,2,65000
2020,43,Female,PhD,Senior Project Engineer,14,190000
2021,34,Male,Master's Degree,Back end Developer,8,140000
2022,46,Male,PhD,Software Engineer Manager,16,185000
2023,33,Female,Bachelor's Degree,Full Stack Engineer,7,130000
2024,30,Female,Master's Degree,Front end Developer,5,105000
2025,50,Male,PhD,Senior Project Engineer,19,200000
2026,30,Male,Bachelor's Degree,Back end Developer,5,100000
2027,42,Male,Master's Degree,Software Engineer Manager,13,170000
2028,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
2029,45,Male,PhD,Senior Project Engineer,16,185000
2030,29,Female,Bachelor's Degree,Front end Developer,4,90000
2031,39,Female,Master's Degree,Software Engineer Manager,12,160000
2032,27,Male,Bachelor's Degree,Back end Developer,3,80000
2033,49,Male,PhD,Senior Project Engineer,17,195000
2034,32,Female,Master's Degree,Full Stack Engineer,6,115000
2035,36,Male,Bachelor's Degree,Software Engineer Manager,8,135000
2036,27,Male,Bachelor's Degree,Front end Developer,2,65000
2037,43,Female,PhD,Senior Project Engineer,14,190000
2038,34,Male,Master's Degree,Back end Developer,8,140000
2039,46,Male,PhD,Software Engineer Manager,16,185000
2040,33,Female,Bachelor's Degree,Full Stack Engineer,7,130000
2041,30,Female,Master's Degree,Front end Developer,5,105000
2042,50,Male,PhD,Senior Project Engineer,19,200000
2043,30,Male,Bachelor's Degree,Back end Developer,5,100000
2044,42,Male,Master's Degree,Software Engineer Manager,13,170000
2045,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
2046,45,Male,PhD,Senior Project Engineer,16,185000
2047,29,Female,Bachelor's Degree,Front end Developer,4,90000
2048,39,Female,Master's Degree,Software Engineer Manager,12,160000
2049,27,Male,Bachelor's Degree,Back end Developer,3,80000
2050,49,Male,PhD,Senior Project Engineer,17,195000
2051,32,Female,Master's Degree,Full Stack Engineer,6,115000
2052,36,Male,Bachelor's Degree,Software Engineer Manager,8,135000
2053,27,Male,Bachelor's Degree,Front end Developer,2,65000
2054,43,Female,PhD,Senior Project Engineer,14,190000
2055,34,Male,Master's Degree,Back end Developer,8,140000
2056,46,Male,PhD,Software Engineer Manager,16,185000
2057,33,Female,Bachelor's Degree,Full Stack Engineer,7,130000
2058,30,Female,Master's Degree,Front end Developer,5,105000
2059,50,Male,PhD,Senior Project Engineer,19,200000
2060,30,Male,Bachelor's Degree,Back end Developer,5,100000
2061,42,Male,Master's Degree,Software Engineer Manager,13,170000
2062,33,Female,Bachelor's Degree,Full Stack Engineer,6,115000
